text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
خاصنا نعاودو مجزوءة الوضع البشري حين الانا الأعلى طغات في المجتمع,negative,negative,negative,negative,negative,negative,negative,negative,negative
: دابا واحد صلق حموص فما طايب وسماه طايب وهاري واشوف لفكرة كيدايرة,negative,negative,negative,negative,negative,negative,negative,negative,negative
مَا أَسرَعَ مُرُورَ اللَّيَالي وَمُضِيَّ الأَيَّامِ وَمَا أَعجَلَ انقِضَاءَ الأَوقَاتِ وَذَهَابَ السَّاعَاتِ بِالأَمسِ القَرِيبِ دَخَلَ شَهرُ رَمَضَانَ المُبَارَكُ، ثُمَّ هَا هُوَ اليَومَ قَد مَضَى ثُلثُهُ عَلَى عَجَلٍ،ونستقبل اليوم الثلث الثاني فاللهم تقبل منا الصيام و القيام🤲,positive,negative,negative,negative,negative,positive,negative,negative,negative
: بنادم داخل ل تويتر بحال لا داخل للسويقة، كا يبقى يسكرولي حتى كا تبان ليه الجوقة و يدخل يخشي ريتويت ديالو حتى هو، واخا يدوز حد…,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله ارحمها و الله اصبرو,negative,positive,positive,positive,positive,positive,positive,positive,positive
: the best zoz related content you'll ever see today ❤️,positive,positive,positive,positive,positive,positive,positive,positive,positive
: المهم غا بغيت نقول لهادوك لي كيعايرو فالبوادي وبناتهم..البادية وناس البادية تاج راسكم نقطة!!!,negative,negative,negative,negative,negative,negative,negative,negative,negative
شارك معانا القنوات لي بانو لييك مهمين و شكرا مسبقا 🙏🙏,positive,negative,negative,negative,positive,negative,positive,positive,positive
+150حالة جديدة +215 حالة شفاء +5 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
+97 حالة جديدة +127 حالة شفاء +3 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: خير لك أن تقضي وقتك بالسعي لإدخال نفسك الجنة، على السعي في إثبات أن غيرك سيدخل النار. علي شريعتي,positive,negative,negative,negative,negative,negative,negative,negative,negative
: مبروك لحرية التعبير تأجيل المشروع قانون_2220 لعقوبة لسحب 😉,negative,negative,negative,negative,positive,negative,positive,negative,negative
: للمرة الثانية في ظرف أقل من 10 أيام ... الرعاة الرحل المجرمين يعودون إلى تافراوت المولود من جديد، حيث يتواجد في هذه الأثنا…,negative,negative,negative,negative,positive,negative,negative,negative,negative
: شاد الطريق من طانطان الآسفي أكثر من 600km بحال اللعب 😨😲,positive,positive,positive,negative,positive,negative,positive,negative,negative
: اليوم كانت الحرارة⁦🌤️⁩ الا عندك شي طاسة أو نص قرعة، دير فيها الماء وخرجها للطيور أو للقطط🐱,negative,negative,negative,negative,negative,negative,negative,negative,negative
: البنت اللي تعرف تشبك بحال هاد خانا تهز يديها 😂,negative,negative,negative,negative,positive,negative,negative,negative,negative
+174 حالة جديدة +182 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: فيديو_بوزنيقة النيابة العامة تأمر بوضع الفرنسي الذي دهس أغنام الراعي رهن الحراسة النظرية.,negative,negative,negative,negative,negative,negative,negative,negative,negative
: اليوم الصهد بزاف عفاكم خرجو طويسه ديال الما من الشرجم ولا سطح شوفو كفاش عطشانين🥺♥️,negative,negative,negative,negative,negative,negative,negative,negative,negative
: كورونا_المغرب قصة انسانية مؤلمة، شخص يسافر راجلا من طاطا الى امنتانوت بعدما انقطع رزقه، ليلتحق بعائلته.,negative,negative,negative,negative,negative,negative,negative,negative,negative
: كورونا_المغرب الجائحة سرعت ورش رقمنة الإدارة ببلادنا، نتمنى الا يذهب هذا المجهود سدى بعد انتهاء الأزمة الصحية.,negative,positive,positive,negative,positive,negative,positive,negative,negative
: تنشارك معاكم هاد العمل الفني لي وقفت على الاخراج ديالو ليوم ، ترحماً على الفنان الامازيغي إيدير صاحب الاغنية لي كانت م…,negative,positive,positive,positive,positive,positive,positive,negative,positive
الله أكبر الله أكبر تقبل الله صيامكم الأصدقاء و بالصحة فطوركم day_8,positive,positive,positive,positive,positive,positive,positive,positive,positive
: الفاتيتات ما خلاو شي أبليكاسيون ما دخلو ليها ليها يقلبو فيها على الراجل، les paramètres تلقاها مازال كا تقلب منين كا يقادو في…,negative,negative,negative,negative,negative,negative,negative,negative,negative
أشناهو الإجراء المحتمل لما بعد ال20 ماي ؟؟ كورونا_المغرب,negative,negative,negative,negative,negative,negative,negative,negative,negative
غا الله احضر السلامة ، تخاف تأزم الحالة النفسية دبنادم و يخرج للشارع صحة 😑😑,negative,negative,negative,negative,positive,negative,positive,negative,negative
فيروس كورونا - فرنسا: تمديد حالة الطوارئ الصحية حتى 24 يوليوز 😕😕😕,negative,negative,negative,negative,negative,negative,negative,negative,negative
+118 حالة جديدة +152 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: كاين واحد المغرد هنا عندو تغريدات زوينين وفيهم من الإبداع والحكم ما لا يعد ولا يحصى غير هو كيستعل أحيانا بعض الكلمات النابية…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: يا طالعين الجبل اغنية شعبية فلسطينية غنتها النساء لما كانوا يزوروا السجون يحطو حرف ل للتمويه حتى يوصلوا رسالة للأسرى إنو…,negative,negative,negative,negative,positive,negative,negative,negative,negative
": بيان_حقيقة عمد أحد الأشخاص إلى استعمال حساب مزور يحمل اسمي على موقع التواصل الاجتماعي ""فيسبوك"" من أجل نشر تعليقات مجانب…",negative,negative,negative,negative,negative,negative,negative,negative,negative
خلال ال24 ساعة الماضية تم تسجيل : +146 حالة جديدة +99 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: قانون2220 هسبريس تنقل عن مصدر حكومي قوله إن الحكومة تتجه لإدخال تعديلات على مشروع القانون، أهمها تضييق الحالات التي يمكن م…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+106 حالة جديدة +71 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: والله ما يتقلق المؤلف ادا مصورتوش كتابو حداه كاس دالقهوة 😭,negative,negative,negative,negative,positive,negative,negative,negative,negative
: كل نهار كنزيد نتأكد بلي تيقار زوين بزاف، وبلي ماشي كولشي باغيك بنيتو وماشي كولشي باغي ليك الخير 🙂,positive,negative,negative,negative,negative,negative,negative,negative,negative
: ‌‌‌ڪانت هناك احلام فسقط حرف الحاء ..🖤,negative,negative,negative,negative,positive,negative,positive,positive,positive
رفع الآذان لصلاة المغرب بالصحة فطوركم و تقبل الله,positive,positive,positive,positive,positive,positive,positive,positive,positive
: فالتويتوما غتلقا لي ينقز عليك بسبب ولا بلاش وتساب انت وياه عادي كتوقع فين ممشيتي ولكن نهار توقف على شي بلان والله ميفوتوك ابسط…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: ماكانجاوبش على ليزاپيل ديال مور 28 فالشهر، عايق ببنادم لي كاتشيط ليه ديك ربع ساعة فلابونمو.. وباغي يسد بيا الشهر,negative,negative,negative,negative,negative,negative,negative,negative,negative
انا لله و انا اليه راجعون لله ما أعطى و له ما أخد ، اللهم ارحمه و ارزق أهله الصبر و السلوان,negative,positive,positive,positive,positive,positive,positive,negative,negative
+37 حالة جديدة +112 حالة شفاء +2 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
حصيلة ال24 ساعة الماضية +132 حالة جديدة +83 حالة شفاء +3 وفيات كورونا_المغرب,negative,negative,negative,negative,negative,positive,positive,negative,negative
: قانون_2220 بحسب مصدر حكومي،تحدث مع تيلكيل عربي فإن النسخة المسربة هي الأولى التي عرضت على الحكومة، وتم تقديم ملاحظات عليه…,negative,negative,negative,negative,positive,negative,negative,negative,negative
+126 حالة جديدة +43 حالة شفاء +1 وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: استهلك وانت سااااكت...ماشي هدا هو المغرب لي بغينا ولي كندافعو عليه...خيبة امل فالدقيقة 90 كيديما يسقط_قانون_2220,negative,negative,negative,negative,negative,negative,negative,negative,negative
: والله مؤسف جدا يالاه كنا فرحانين شي شوية بالتدابير لي اتخذات الدولة فهاد الجائحة و زكيناها و وقفنا ضد اي طرف اجنبي حاول يشوه…,negative,negative,negative,negative,negative,positive,negative,negative,negative
كورونا و أزمة اقتصادية جاية فالطريق و عوض ما تصدر قوانين و خطط للخروج من الجائحة و هما كايزيدو الضغط على الشعب ، وما ينتج عن الضغط إلا الإنفجار ارفض_2220,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الناس المتخصصين فالقانون خاص يشرحو لينا شنو واقع ، لوهلة كيبان أنه البنود حاطينها شركات و أشخاص سبق و كانو متضررين من ا…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: مصلحة الوطن العليا فوق كل اعتبار اه اسيدي على الراس والعين ودكشي علاش منذ البداية هبطنا راس ودرنا عين ميكة وخليناكم تخدموا…,negative,negative,negative,negative,negative,negative,positive,negative,negative
: مشروع قانون مخبي على الجميع فيه مواد مرعبة ، واش غادي ايدوز هادشي في البرلمان في ظل أزمة كورونا 🤔 كورونا المغرب https…,negative,negative,negative,negative,negative,negative,negative,negative,negative
مع فاق كيم جون من المرض وهو اكتب لينا مشروع قانون شكرا كيم جون ، عاشت كوريا,positive,negative,negative,negative,negative,negative,negative,negative,negative
: لا_لتكميم_الافواه هربنا من الواقع و صبنا متنفس في العالم الإفتراضي .. ساعاك تاهو ولاو بغين يديرو عليه الرقابة https:/…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الدنيا أرزاق يا ولدي.. قالت لي و هي تتأمل فنجاني المسكوب.. قالت: بعض الناس تولد فرحانة ضحكانة، وبعضها تولد وهي تحن إلى الرجو…,negative,positive,positive,negative,negative,negative,positive,negative,negative
احذر أن تدل الناس على الله و تفقد أنت الطريق,negative,negative,negative,negative,positive,negative,negative,negative,negative
خلال 24 ساعة الماضية : +55 حالة جديدة +102 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,negative,negative,negative
: فيروس كورونا .. عدة دول أوروبية تتجه تدريجيا نحو رفع الحجر الصحي عاون_بلادك_خليك_فدارك,negative,negative,negative,negative,negative,negative,negative,negative,negative
+ 50 حالة جديدة +76 حالة شفاء +0 وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: سعادة رئيس الحكومة انتم تقولون ان المؤونة كافية ولا يوجد مشكل تموين .. لكن هذه الجريدة لها رأي آخر !!! المرجوا منكم اما…,negative,negative,negative,negative,negative,negative,negative,negative,negative
اتلقاي داك زوجك المستقبلي كاتب تا هو رسالة إلى زوجتي المستقبلية أما بعد إلا مكنتيش غاطيبي ليا الفطور (حريرة شباكية بريوات عواصر مسمن بغرير حوت بيتزات ...) و تعمري الطبلة و تجمعيها و تغسلي المواعن را معندي ما ندير بيك 🙄😉😂😂😂😂,negative,negative,negative,negative,negative,negative,negative,negative,negative
: المرأة التي تطبخ في النهار وهي صائمة و تغسل الصحون بعد الإفطار وبعد السحور وتتعب من أجل إسعاد أسرتها نسأل الله أن يغسل ذنوب…,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله أكبر ... تقبل الله صيامكم,positive,positive,positive,positive,positive,positive,positive,positive,positive
خلال ال 24 ساعة الماضية تم تسجيل *168 حالة جديدة *56 حالة شفاء *2 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
": ها علاش اوروبا مبقاوش يحملو العرب هد النوعية الهيطوكية مالين ثقافة ""كلشي ديال الله"" هي لوسخاتها وطيحت بالسمعة ديالنا htt…",negative,negative,negative,negative,negative,negative,negative,negative,negative
: قضية_الطفل_حمزة عظامي تهرسو لي او بغيت نمشي عند ماما في القنيطرة.,negative,negative,negative,negative,negative,negative,negative,negative,negative
+150 حالة جديدة +20 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
كنت أستعد للنوم ، فإذا بي أشاهد بالصدفة فيديو يوثق لإهانة و ضرب شاب من ذوي الإحتياجات الخاصة. فلهذا أدعو إلى التحري في هذه المسألة لعلم ملابساتها و معاقبة المعتدية على الشاب. 😥😥😥 حق_المعاق_خصو_يرجع,negative,negative,negative,negative,negative,negative,negative,negative,negative
"vous souvenez-vous quand vous avez rejoint twitter ? moi, oui ! mytwitteranniversary",positive,positive,positive,positive,negative,positive,positive,negative,negative
اذان المغرب يالاه وصل عندنا بالصحة فطوركم,negative,positive,positive,positive,positive,positive,positive,positive,positive
ومال الحامض ماشي راجل فين_صندوق_التفاح,negative,negative,negative,negative,negative,negative,negative,negative,negative
+139 حالة جديدة +51 حالة شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: كورونا_المغرب المجلس العلمي الأعلى يفتي بجواز عدم غسل وعدم تيمم المتوفى بسبب مرض كورونا لاعتبارات شرعية وصحية.,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الدار المغربية فيها 3 دالناس: 1 حاضي الاحصائيات.. 2 داكشي ديال التعقيم.. 3 هاداك لي كولشي كيتهمو بلي هو لي غايجيب كور…,negative,negative,negative,negative,negative,negative,negative,negative,negative
رمضان مبارك تقبل الله الصيام و القيام 🙏,positive,positive,positive,positive,positive,positive,positive,positive,positive
كورونا_المغرب خلال ال24 ساعة الماضية تم تسجيل : ☆190 حالة إصابة جديدة --> المجموع : 3758 حالة مؤكدة ☆30 حالات شفاء --> المجموع: 486 حالة شفاء ☆3 حالات وفاة --> المجموع : 158 حالة وفاة,negative,negative,negative,negative,negative,positive,positive,negative,negative
: السلطات تعمل على الإغلاق الشامل لبويزاكارن البؤرة الجديدة لڤيروس كورونا بالمغرب والأقاليم الجنوبية.,negative,negative,negative,negative,negative,negative,negative,negative,negative
: واحد القضية ديال الرحل الي كيهجمو على الناس فالبوادي فسوس واش معندهم حل علاش المخزن مبغاش يوقفهم عند حدهم ؟!!!كيجيو وكيجيبو…,negative,negative,negative,negative,negative,negative,negative,negative,negative
جهة كلميم واد نون تسقط أمام وباء كورونا بعد صمودها لأزيد من شهر 😥😥,negative,negative,negative,negative,negative,negative,negative,negative,negative
صباح النور,positive,positive,positive,positive,positive,positive,positive,positive,positive
+124 حالة جديدة +22 حالة شفاء +0 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: تخيلو هاد رمضان غانفطرو ونجلسو نتعشاو ونعسو ونفيقو نتسحرو ونعسو ونفيقو نجلسو باش نفطرو كورونا_المغرب الحجر_الصحي,negative,negative,negative,negative,negative,negative,negative,negative,negative
+122 حالة جديدة +39 حالة شفاء +6 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
وااا الحبس عمرتي لينا التايم بالحموضة بقا فداك انتستقرام و هنينا اسامة_الحامض,negative,negative,negative,negative,positive,negative,negative,negative,negative
+91 حالة جديدة +13 حالة شفاء +2 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: شكون هذا الي كيطبلو ليه التويتوما وكيقولو ليه تويتر مافيهش التطبيل؟😕 طحتو من عيني😭,negative,negative,negative,negative,negative,negative,negative,negative,negative
: ريتويت ماشي ديما كيعني را عجبني منشوورك، تقدر تكوون مزبلها و كيديرو ريتويت باش يشوهوك قوانين_تويتوما,negative,negative,negative,negative,negative,negative,negative,negative,negative
+237 حالة جديدة +24 حالة شفاء +4 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: كورونا_المغرب خطط وخطب الحكومة بشأن التعليم لا أصداء لها في المناطق القروية والنائية، فيديوهات التلاميذ المتداولة تقول كل…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+168 حالة جديدة +5 حالة شفاء +4 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
+163 حالة جديدة +43 حالة شفاء +2 حالات وفاة كورونا_المغرب د,negative,negative,negative,negative,negative,negative,positive,negative,negative
تحية_للناس لي كايدخلو سوق راسهم,positive,positive,positive,negative,positive,negative,positive,positive,positive
: إلى عمي رئيس الحكومة سعد الدين العثماني ؛ واش فراسك راه باقي الناس مستافدوش من التعويض (الراميد) وخصوصا سكان البوادي ؟! كو…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+140 حالة جديدة +9 حالات شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: الي صايبتي الشباكية ديرها فالسطل ماشي ف story راه كين لي ملقاش حتى الدقيق يصايب بيه الخبز لولادو ..والسلام,negative,negative,negative,negative,negative,negative,negative,negative,negative
كورونا_المغرب خلال ال24 ساعة الماضية تم تسجيل : 191 حالة --> المجموع : 3046 حالة 23 حالة شفاء --> المجموع: 350 2 حالات وفاة --> المجموع :143,negative,negative,negative,negative,negative,positive,negative,negative,negative
+135 حالة جديدة +13 حالة شفاء +2 حالات وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
: 0 حالة فتيزنيت علاش .. حيت ديك المدينة كل واحد كتلقاه داخل سوق راسو و شاد تيقارو ⁦♥️⁩,negative,negative,negative,negative,negative,negative,negative,negative,negative
كورونا_المغرب خلال ال24 ساعة الماضية تم تسجيل : 170 حالة --> المجموع : 2855 حالة 13 حالات شفاء --> المجموع: 327 4 حالات وفاة --> المجموع :141,negative,negative,negative,negative,negative,positive,negative,negative,negative
+135 حالة جديدة +8 حالات شفاء +1 حالة وفاة كورونا_المغرب,negative,negative,negative,negative,negative,negative,positive,negative,negative
": من غرائب زمن كورونا أنك تجد مجموعة في"" راس الزنقة"" تناقش و تنتقد عدم التزام الآخرين بالحجر الصحي"" الذي فرضته السلطات !",negative,negative,negative,negative,negative,negative,negative,negative,negative
: يترأس السيد رئيس الحكومة الدكتور سعد الدين العثماني في الساعة الرابعة والنصف من بعد زوال اليوم السبت 18 أبريل 2020، مجلسا ل…,negative,negative,negative,negative,positive,positive,negative,negative,negative
+106 حالة جديدة +17 حالة شفاء +2 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
دبا كايتزادو بزاف مع ظهور بؤر في الشركات و الوحدات الصناعية,negative,negative,negative,negative,negative,negative,negative,negative,negative
+281 حالة جديدة +32 حالة شفاء +3 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
hadchi wlla kaytzad b 200😭😭😭,negative,negative,negative,negative,positive,negative,negative,positive,positive
+245 حالة جديدة +24 حالة شفاء +3 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: هذا حسابي الجديد إدعموه من فضلكم 🙏😁 حسابي القديم يتعرض لنظرية المؤامرة في زمن الوباء من اصحاب الحسنات وما أك…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: لا شك ان فيروس_كورونا اقترب لكل واحد منا لمسافات متفاوتة وقد يكون حط على يد احدنا فالهمه الله غسلها والنجاة بنفسه وبمن يحب…,negative,negative,negative,negative,negative,negative,negative,negative,negative
خلا ال24 ساعة الماضية تم تسجيل : +259 حالة جديدة +20 حالات شفاء +3 وفاة كورونا_المغرب,negative,negative,negative,negative,negative,positive,negative,negative,negative
+227 حالة جديدة +18 حالات شفاء +1 وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
+100 حالة جديدة +1 حالات شفاء +1 وفاة كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: حالة_الطواري_الصحية: الحسم في نهاية الأسبوع والتمديد قد يمتد من أسبوعين إلى شهر. أخبار_اليوم عن مصدر حكومي. كورونا_المغ…,negative,negative,negative,negative,negative,negative,negative,negative,negative
كورونا_المغرب خلال ال24 ساعة الماضية تم تسجيل : +125 حالة إصابة جديدة --> المجموع : 1888 حالة +14 حالات شفاء --> المجموع: 217 حالة شفاء ☆0 حالات وفاة --> المجموع : 126 حالة وفاة,negative,negative,negative,negative,negative,positive,positive,negative,negative
+75 حالة جديدة +7 حالات شفاء 0وفيات 🙂 كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: من النهار الي بدا هذ الوباء حتى لليوم ماتأديناش. خصنا نحمد الله تعالى حيت عافانا مما ابتلى به غيرنا. وندعوه رفع البلاء عنا.,negative,negative,negative,negative,negative,positive,positive,negative,negative
: كورونا_المغرب الإعلان عن شفاء جميع المصابين الموجودين بالحجر الصحي بالمركز الاستشفائي الجهوي مولاي الحسن بن المهدي بمدينة…,positive,negative,negative,negative,negative,positive,positive,negative,negative
: day x into the quarantine,positive,positive,positive,negative,positive,positive,positive,positive,positive
: أي بروفيل فيه هاد العلامات ب 3 عرفو زبل إلكتروني : 1 - ترويج أخبار سلبية صحيحة أو كاذبة عن قطر و تركيا 2 - ترويج أخبار جيدة…,positive,negative,negative,negative,negative,negative,negative,negative,negative
تبارك الله على الشليحات 😍😍😍,positive,positive,positive,positive,positive,positive,positive,positive,positive
: هذا احلى مقطع رياضي شفته من بداية الازمة. (( خصووووصا )) لان بطلته بنوتة. بس اااخ لو مو لابسة شورت النحس 😆 المهم.. هذا تحدي…,positive,negative,negative,negative,negative,negative,negative,negative,negative
: السلام عليكم ورحمة الله عفاكم لي كيعرف شي محسينين واحد السيدة مفحالهاش كانت خادمة فقهوة ودبا معندهاش لقوت اليومي ديالها…,negative,negative,negative,negative,negative,positive,negative,negative,negative
ايكون خير إنشاء الله,positive,positive,positive,positive,positive,positive,positive,positive,positive
احسن حاجة هي هادي ايديرو رفع الحجر تدريجيا,positive,negative,negative,negative,positive,negative,negative,negative,negative
غالبا غايديرو الحجر تا افوت رمضان و الله أعلم,positive,negative,negative,negative,positive,positive,negative,positive,positive
كاين شي ذباب إلكتروني كاينشر الأكاذيب على الحكومة و الشعب المغربي باش اخلقو الفتنة في زمن الحجر الصحي سينيالوو هادو الخوت 🙏🙏 حملة_سينيال,negative,negative,negative,negative,negative,negative,negative,negative,negative
تقبل الله منهم وجعلها الله في ميزان حسناتهم,positive,positive,positive,positive,positive,positive,positive,positive,positive
الله اسعد الصباح 🌹🌹😊😊,positive,positive,positive,positive,positive,positive,positive,positive,positive
+85 حالة جديدة +19 حالات شفاء +2 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: اصدقاء هوما هادو مشي دروري تهدر معهوم كل نهار و ماشي دروري تسول فيه ووووو ولكن نهار تجيبه تهدر معه كتلقاه كيف ما هوووو ❤ حمد…,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله اسمعك خبار الخير 🤲🤲,positive,positive,positive,positive,positive,positive,positive,positive,positive
الله ارحمو,negative,positive,positive,positive,positive,positive,positive,positive,positive
خلال ال24 ساعة الماضية تم تسجيل: +116 حالة جديدة +31 حالات شفاء +7 وفيات كورونا_المغرب,negative,negative,negative,negative,negative,positive,negative,negative,negative
: كورونا_المغرب عدم تسجيل أي إصابة جديدة بجهة_العيون، بعد تعافي بقية المصابين. الحمد لله والشكر لله 🤲,negative,negative,negative,negative,positive,negative,positive,negative,negative
: كورونا_المغرب رضيعة لا يتجاوز عمرها 3 أشهر هزمت الوباء وغادرت مستشفى فاس. الحمد لله والشكر لله🤲🤲,positive,negative,negative,negative,negative,negative,negative,negative,negative
+72 حالة جديدة +7 حالات شفاء +2 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
ديك الماكلة لي كنتو كاتحطو هنا هي لي رونات المعدة ديال التويتر 🤥🤥,negative,negative,negative,negative,positive,negative,negative,negative,negative
: كورونا_المغرب طبيبان يغادران اليوم المركز الاستشفائي الجامعي الحسن الثاني بفاس، بعد تعافيهما من الإصابة. الحمد لله🤲 http…,negative,negative,negative,negative,negative,positive,negative,negative,negative
: لا تؤذِ قلباً رق لك يوما ف لحظات الود لها عليك ألف حق وحق ..❤,positive,negative,negative,negative,positive,negative,negative,negative,positive
: فيروس_كورونا المغرب يمر إلى السرعة القصوى، ستة مراكز استشفائية جامعية تشرع ابتداء من الاثنين في إجراء الكشف المخبري، ودعوا…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: رئيس_الحكومة ينفي مضمون تسجيل صوتي يروج على مواقع التواصل الاجتماعي تدعي فيه مواطنة_من_تيزنيت تدخله لإطلاق سراحها بعد إي…,negative,negative,negative,negative,positive,negative,negative,negative,negative
لا ، مجموع التحاليل 709 بالضبط منها 97 ايجابية و 612 سلبية,negative,positive,positive,positive,positive,positive,positive,positive,positive
709 test 9️⃣7️⃣➕ 6️⃣1️⃣2️⃣➖ كورونا_المغرب,negative,negative,negative,negative,positive,negative,negative,positive,positive
كورونا_المغرب,negative,negative,negative,negative,positive,positive,negative,positive,positive
24 حالة شفاء *,positive,positive,positive,positive,positive,positive,positive,positive,positive
: أغنية كورونا اللبنانية مقارنة ما مع وزوجوووونا لا تقتلنا كورونا 🤦🏻‍♀️🤦🏻‍♀️,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الاتحاد_للطيران يقتنص فرصة توقف الأسطول بسبب كورونا لإجراء عمليات صيانة ضخمة لكافة الطائرات لتحافظ الطائرات على لياقتها اس…,negative,negative,negative,negative,negative,negative,negative,negative,negative
شكرا لك أخي محمد🙏🙏 ونسأل الله ان يبلغنا رمضان لا فاقدين ولا مفقودين,positive,positive,positive,positive,positive,positive,positive,positive,positive
: كورونا_المغرب يهم طلبة الأقسام التحضيرية,negative,positive,positive,negative,positive,negative,negative,positive,positive
خاصهم اسدو بعدا المدن لي مافيهم تا حالة بحال تيزنيت، اسفي ،العيون ...,negative,negative,negative,negative,negative,negative,negative,negative,negative
+79 حالة جديدة +19 حالة شفاء +3 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
: زد على انه الوزير كان غايزيد يقدم توضيحات اكثر بخصوص بزاف د الاسئلة لي تطرحات لكن سي صلاح الله يسمح ليه تقول هو الوزير كل…,negative,negative,negative,negative,negative,negative,positive,negative,negative
: أهم ماقال وزير التربية الوطنية أن التعليم عن بعد لا يمكنه تعويض التعليم الحضوري واستبعاده للسنة البيضاء و اعتراف ضمني بمح…,negative,negative,negative,negative,positive,negative,positive,negative,negative
: الدرية ديالك ما تخافش عليها من هاداك اللي كا يضل يكومونطي ليها آنستي، و خاف عليها من هاداك اللي كا يدير غير جيم و يضور,negative,negative,negative,negative,negative,negative,negative,negative,negative
دبا باش غانعرف بلي هاد الذبانة لي كاضور حدايا مافيهاش كورونا 🤥🤔,negative,negative,negative,negative,negative,negative,negative,negative,negative
": "" شحال ساهل تقول الله اسهل عليك ملي ربي مسهل عليك """,positive,positive,positive,negative,positive,negative,positive,positive,positive
توزيع الحالات المسجلة خلال ال24 ساعة الماضية كورونا_المغرب,negative,negative,negative,negative,positive,negative,negative,negative,negative
: مخصناش نساو بلي هاد الوباء عطانا فرصة التوقف لي نتأمل في أمور مختلفة في هاد الحياة والتمعن في جوهرها ومن أهمها نقطة التأمل في…,positive,negative,negative,negative,negative,negative,negative,negative,negative
تسجيل أول حالة شفاء بالناظور من فيروس كورونا لشيخ في 80 من العمر الامر يتعلق بالشخص المصاب الاول على مستوى إقليم الناظور، والذي تعرض للاصابة بالديار الفرنسية، ويقطن بجماعة سلوان الواقعة بالنفوذ الترابي لاقليم الناظور. كورونا_المغرب,negative,negative,negative,negative,negative,negative,negative,negative,negative
الحالتين المسجلتين بسوس ماسة اليوم من المخالطين لحالة الإصابة المسجلة بإقليم طاطا,negative,negative,negative,negative,negative,negative,negative,negative,negative
+57 حالة جديدة +5 حالات شفاء +8 وفيات كورونا_المغرب,negative,negative,negative,negative,positive,negative,positive,negative,negative
